,name,y,x,z,,,,,,,,,,h,dx,dy,dz,dd,,,,,fix,,,time,,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,p
120,pt119,877749.1074,2107376.1560,121.7305," 52:36:14.47722"," 41:26:34.83949",130.0071,,,,,,,2.0922,0.0036,0.0010,0.0037,0.0015,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:37:03.0,2022-02-02 10:37:05.0,2022-02-02 07:37:03.0,2022-02-02 07:37:05.0,ива н8,2.0,38,29,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:52:11"," 53:05:06.97"," -00:17:24"," 00:49:12"," 123:36:36.00"," 52:36:14.47723"," 41:26:34.83949",121.7305,18924.0879," 351:16:47.83025",0.0000,,,,,,,0:0:2
121,pt120,877738.4957,2107375.5261,121.6378," 52:36:14.13391"," 41:26:34.80634",129.9144,,,,,,,2.0922,0.0036,0.0062,0.0072,0.0019,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:37:45.0,2022-02-02 10:37:47.0,2022-02-02 07:37:45.0,2022-02-02 07:37:47.0,ива н8,2.0,39,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:37:29"," 01:39:55.14"," 00:24:00"," 00:28:48"," 131:28:12.00"," 52:36:14.13392"," 41:26:34.80634",121.6377,18934.4820," 351:17:12.13939",0.0000,,,,,,,0:0:2
122,pt1218,877732.1157,2107369.5200,121.6091," 52:36:13.92740"," 41:26:34.48739",129.8857,,,,,,,2.0922,0.0014,0.0040,0.0042,0.0007,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:38:15.0,2022-02-02 10:38:17.0,2022-02-02 07:38:15.0,2022-02-02 07:38:17.0,ива н8,1.0,39,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:31:24"," 67:07:50.62"," 01:12:00"," 02:13:12"," 185:30:36.00"," 52:36:13.92741"," 41:26:34.48739",121.6091,18939.8799," 351:18:27.32159",0.0000,,,,,,,0:0:2
123,pt1219,877731.6320,2107359.9384,121.9415," 52:36:13.91158"," 41:26:33.97827",130.2181,,,,,,,2.0922,0.0023,0.0026,0.0035,0.0023,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:38:47.0,2022-02-02 10:38:49.0,2022-02-02 07:38:47.0,2022-02-02 07:38:49.0,рельеф,2.0,39,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:07:19"," 359:59:29.14"," 02:01:12"," 00:39:00"," 162:09:00.00"," 52:36:13.91159"," 41:26:33.97827",121.9415,18938.9110," 351:20:11.27675",0.0000,,,,,,,0:0:2
124,pt1220,877729.3242,2107350.8002,122.2102," 52:36:13.83675"," 41:26:33.49277",130.4868,,,,,,,2.0922,0.0015,0.0010,0.0018,0.0007,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:39:40.0,2022-02-02 10:39:42.0,2022-02-02 07:39:40.0,2022-02-02 07:39:42.0,опдер 3-10 78,2.0,37,29,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:02:49"," 297:00:41.87"," 00:10:12"," -02:02:24"," 202:15:00.00"," 52:36:13.83676"," 41:26:33.49277",122.2102,18939.8172," 351:21:53.45071",0.0000,,,,,,,0:0:2
125,pt1221,877733.1868,2107381.7624,121.5591," 52:36:13.96227"," 41:26:35.13787",129.8357,,,,,,,2.0922,0.0046,0.0030,0.0055,0.0009,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:41:11.0,2022-02-02 10:41:13.0,2022-02-02 07:41:11.0,2022-02-02 07:41:13.0,рельеф,2.0,38,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:01:26"," 329:14:53.36"," -00:38:24"," 01:55:12"," 40:49:12.00"," 52:36:13.96228"," 41:26:35.13787",121.5591,18940.6754," 351:16:13.76484",0.0000,,,,,,,0:0:2
126,pt1222,877732.7760,2107388.7263,121.7297," 52:36:13.94911"," 41:26:35.50791",130.0063,,,,,,,2.0922,0.0072,0.0068,0.0099,0.0034,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:41:32.0,2022-02-02 10:41:34.0,2022-02-02 07:41:32.0,2022-02-02 07:41:34.0,рельеф,2.0,38,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:55:43"," 153:13:55.45"," 01:37:12"," -02:26:24"," 29:40:12.00"," 52:36:13.94912"," 41:26:35.50791",121.7297,18942.1390," 351:14:59.48924",0.0000,,,,,,,0:0:2
127,pt1223,877732.4539,2107391.2213,121.8502," 52:36:13.93873"," 41:26:35.64050",130.1268,,,,,,,2.0922,0.0023,0.0018,0.0029,0.0035,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:42:20.0,2022-02-02 10:42:22.0,2022-02-02 07:42:20.0,2022-02-02 07:42:22.0,подошва,4.0,39,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:34:58"," 105:08:49.07"," -00:31:12"," 02:31:48"," 183:32:24.00"," 52:36:13.93875"," 41:26:35.64050",121.8502,18942.8366," 351:14:33.16968",0.0000,,,,,,,0:0:2
128,pt1224,877731.8990,2107399.1108,123.7765," 52:36:13.92092"," 41:26:36.05974",132.0531,,,,,,,2.0922,0.0011,0.0018,0.0021,0.0007,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:43:26.0,2022-02-02 10:43:28.0,2022-02-02 07:43:26.0,2022-02-02 07:43:28.0,бровка,2.0,38,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:17:50"," 233:49:09.22"," -00:36:00"," 01:09:00"," 296:16:12.00"," 52:36:13.92094"," 41:26:36.05974",123.7765,18944.5803," 351:13:09.18875",0.0000,,,,,,,0:0:2
129,pt1225,877731.2197,2107401.5879,123.9493," 52:36:13.89899"," 41:26:36.19138",132.2259,,,,,,,2.0922,0.0062,0.0059,0.0085,0.0049,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:43:44.0,2022-02-02 10:43:46.0,2022-02-02 07:43:44.0,2022-02-02 07:43:46.0,кромка,2.0,38,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:57:57"," 263:51:51.62"," 00:58:12"," 01:42:36"," 23:25:12.00"," 52:36:13.89900"," 41:26:36.19138",123.9493,18945.6294," 351:12:43.66494",0.0000,,,,,,,0:0:2
130,pt1226,877730.7663,2107405.7151,124.0092," 52:36:13.88440"," 41:26:36.41069",132.2858,,,,,,,2.0922,0.0099,0.0144,0.0174,0.0068,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:44:00.0,2022-02-02 10:44:02.0,2022-02-02 07:44:00.0,2022-02-02 07:44:02.0,ось,2.0,38,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:30:48"," 301:41:16.06"," -00:21:36"," 01:28:12"," 17:55:48.00"," 52:36:13.88441"," 41:26:36.41069",124.0092,18946.7081," 351:12:00.01393",0.0000,,,,,,,0:0:2
131,pt1227,877731.1936,2107409.7738,123.9486," 52:36:13.89829"," 41:26:36.62634",132.2252,,,,,,,2.0922,0.0052,0.0074,0.0090,0.0051,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:44:22.0,2022-02-02 10:44:24.0,2022-02-02 07:44:22.0,2022-02-02 07:44:24.0,кромка,2.0,37,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:12:11"," 147:13:15.40"," -00:33:00"," 01:04:12"," 210:01:12.00"," 52:36:13.89831"," 41:26:36.62634",123.9486,18946.9075," 351:11:15.63572",0.0000,,,,,,,0:0:2
132,pt1228,877730.9169,2107412.1640,123.7171," 52:36:13.88939"," 41:26:36.75336",131.9937,,,,,,,2.0922,0.0052,0.0030,0.0060,0.0027,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:44:40.0,2022-02-02 10:44:42.0,2022-02-02 07:44:40.0,2022-02-02 07:44:42.0,бровка,2.0,38,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:00:03"," 133:26:46.49"," 00:55:48"," 00:22:12"," 291:45:00.00"," 52:36:13.88940"," 41:26:36.75336",123.7171,18947.5481," 351:10:50.38365",0.0000,,,,,,,0:0:2
133,pt1229,877730.7282,2107419.6789,122.2182," 52:36:13.88342"," 41:26:37.15268",130.4948,,,,,,,2.0922,0.0078,0.0097,0.0124,0.0006,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:46:27.0,2022-02-02 10:46:29.0,2022-02-02 07:46:27.0,2022-02-02 07:46:29.0,подошва,2.0,37,29,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:20:52"," 225:17:25.95"," 00:11:24"," 02:20:24"," 319:55:48.00"," 52:36:13.88343"," 41:26:37.15268",122.2182,18948.8939," 351:09:29.86101",0.0000,,,,,,,0:0:2
134,pt1230,877730.2256,2107422.6177,122.0168," 52:36:13.86721"," 41:26:37.30885",130.2934,,,,,,,2.0922,0.0076,0.0022,0.0079,0.0048,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:46:56.0,2022-02-02 10:46:58.0,2022-02-02 07:46:56.0,2022-02-02 07:46:58.0,рельеф,2.0,38,30,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 06:05:29"," 346:48:42.47"," -03:46:48"," 04:46:48"," 38:33:36.00"," 52:36:13.86722"," 41:26:37.30885",122.0168,18949.8433," 351:08:59.09178",0.0000,,,,,,,0:0:2
135,pt1231,877730.8376,2107426.2102,122.2785," 52:36:13.88707"," 41:26:37.49972",130.5551,,,,,,,2.0922,0.0035,0.0013,0.0038,0.0031,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:47:12.0,2022-02-02 10:47:14.0,2022-02-02 07:47:12.0,2022-02-02 07:47:14.0,рельеф,2.0,35,28,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:00:36"," 266:15:54.24"," 00:00:36"," 02:00:36"," 356:33:00.00"," 52:36:13.88708"," 41:26:37.49972",122.2785,18949.7906," 351:08:19.42773",0.0000,,,,,,,0:0:2
136,pt1232,877731.5608,2107429.5114,122.5183," 52:36:13.91053"," 41:26:37.67511",130.7949,,,,,,,2.0922,0.0010,0.0098,0.0098,0.0054,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:47:32.0,2022-02-02 10:47:34.0,2022-02-02 07:47:32.0,2022-02-02 07:47:34.0,рельеф,2.0,37,30,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 06:04:48"," 265:14:35.91"," -00:46:48"," 06:01:48"," 347:54:00.00"," 52:36:13.91054"," 41:26:37.67511",122.5182,18949.5839," 351:07:42.70991",0.0000,,,,,,,0:0:2
137,pt1233,877731.6887,2107430.9297,122.4929," 52:36:13.91454"," 41:26:37.75048",130.7695,,,,,,,2.0922,0.0017,0.0020,0.0026,0.0005,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:49:10.0,2022-02-02 10:49:12.0,2022-02-02 07:49:10.0,2022-02-02 07:49:12.0,канава,2.0,37,29,1.1000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 04:00:04"," 252:39:14.87"," 00:51:00"," 03:54:36"," 354:54:00.00"," 52:36:13.91455"," 41:26:37.75048",122.4929,18949.6811," 351:07:27.24858",0.0000,,,,,,,0:0:2
138,pt1234,877731.7936,2107434.8480,122.7929," 52:36:13.91815"," 41:26:37.95868",131.0695,,,,,,,2.0922,0.0027,0.0029,0.0040,0.0013,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:49:28.0,2022-02-02 10:49:30.0,2022-02-02 07:49:28.0,2022-02-02 07:49:30.0,рельеф,2.0,36,28,1.1000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:18:23"," 06:26:06.29"," -01:13:48"," -00:26:24"," 346:45:00.00"," 52:36:13.91816"," 41:26:37.95868",122.7929,18950.1767," 351:06:44.92468",0.0000,,,,,,,0:0:2
139,pt1235,877731.9368,2107436.8166,122.8770," 52:36:13.92282"," 41:26:38.06327",131.1536,,,,,,,2.0922,0.0025,0.0059,0.0064,0.0169,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:49:40.0,2022-02-02 10:49:42.0,2022-02-02 07:49:40.0,2022-02-02 07:49:42.0,канава,2.0,36,28,1.1000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 05:29:44"," 239:23:33.21"," -00:54:36"," 05:25:12"," 319:53:24.00"," 52:36:13.92283"," 41:26:38.06327",122.8770,18950.3391," 351:06:23.51376",0.0000,,,,,,,0:0:2
140,pt1236,877736.1332,2107440.4742,123.2897," 52:36:14.05864"," 41:26:38.25750",131.5663,,,,,,,2.0922,0.0031,0.0008,0.0032,0.0006,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:53:17.0,2022-02-02 10:53:19.0,2022-02-02 07:53:17.0,2022-02-02 07:53:19.0,опжб 310 л9-93 н8.05,2.0,34,29,1.1000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:35:01"," 174:43:56.30"," -01:16:12"," -02:15:00"," 114:09:36.00"," 52:36:14.05865"," 41:26:38.25750",123.2897,18946.7575," 351:05:37.10945",0.0000,,,,,,,0:0:2
141,pt1237,877736.1148,2107440.4314,123.3339," 52:36:14.05805"," 41:26:38.25523",131.6105,,,,,,,2.0922,0.0008,0.0010,0.0013,0.0026,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:54:01.0,2022-02-02 10:54:03.0,2022-02-02 07:54:01.0,2022-02-02 07:54:03.0,нлс 6.7,2.0,34,29,1.1000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:38:54"," 177:05:14.46"," -01:07:12"," -02:24:00"," 112:05:24.00"," 52:36:14.05806"," 41:26:38.25523",123.3339,18946.7688," 351:05:37.60026",0.0000,,,,,,,0:0:2
142,pt1238,877735.6852,2107442.1454,123.3530," 52:36:14.04418"," 41:26:38.34632",131.6296,,,,,,,2.0922,0.0009,0.0025,0.0026,0.0036,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:54:35.0,2022-02-02 10:54:37.0,2022-02-02 07:54:35.0,2022-02-02 07:54:37.0,куст уг,2.0,37,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:38:26"," 71:38:20.29"," -00:03:36"," -02:38:24"," 342:56:24.00"," 52:36:14.04419"," 41:26:38.34632",123.3530,18947.4587," 351:05:19.88987",0.0000,,,,,,,0:0:2
143,pt1239,877734.6235,2107446.4638,123.3409," 52:36:14.00991"," 41:26:38.57581",131.6175,,,,,,,2.0922,0.0011,0.0023,0.0025,0.0016,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:54:52.0,2022-02-02 10:54:54.0,2022-02-02 07:54:52.0,2022-02-02 07:54:54.0,куст уг,2.0,35,27,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:21:12"," 220:55:35.99"," 01:19:48"," 00:15:00"," 30:16:48.00"," 52:36:14.00992"," 41:26:38.57581",123.3409,18949.1770," 351:04:35.23981",0.0000,,,,,,,0:0:2
144,pt1240,877734.8511,2107445.4962,123.3562," 52:36:14.01725"," 41:26:38.52439",131.6328,,,,,,,2.0922,0.0026,0.0029,0.0039,0.0069,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 10:55:04.0,2022-02-02 10:55:06.0,2022-02-02 07:55:04.0,2022-02-02 07:55:06.0,рельеф,2.0,37,29,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:38:05"," 307:06:20.08"," -01:25:12"," -00:48:36"," 277:24:00.00"," 52:36:14.01727"," 41:26:38.52439",123.3562,18948.8020," 351:04:45.26140",0.0000,,,,,,,0:0:2
145,pt1241,877877.2778,2107438.4455,122.1634," 52:36:03.74332"," 41:26:38.15898",130.4400,,,,,,,2.0922,0.0644,0.0620,0.0894,0.1083,2.0000,Веха(P),EFT:M2,1,RTK ФИКС.,2022-02-02 11:05:17.0,2022-02-02 11:05:17.0,2022-02-02 08:05:17.0,2022-02-02 08:05:17.0,посадгр,3.0,37,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:36:46"," 272:30:14.18"," 00:16:12"," 00:33:00"," 28:39:00.00"," 52:36:03.74333"," 41:26:38.15898",122.1634,19261.5288," 351:14:47.22601",0.0000,,,,,,,0:0:0
146,pt1242,877873.4260,2107433.3817,122.0554," 52:36:03.61862"," 41:26:37.89005",130.3320,,,,,,,2.0922,0.0031,0.0056,0.0064,0.0082,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:06:14.0,2022-02-02 11:06:16.0,2022-02-02 08:06:14.0,2022-02-02 08:06:16.0,опжб 310 л9-100,2.0,34,27,1.1000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 05:08:02"," 201:03:32.71"," 00:40:12"," -05:05:24"," 103:34:48.00"," 52:36:03.61864"," 41:26:37.89005",122.0554,19264.5663," 351:15:47.08997",0.0000,,,,,,,0:0:2
147,pt1243,877874.6007,2107429.5534,121.7941," 52:36:03.65656"," 41:26:37.68660",130.0707,,,,,,,2.0922,0.0025,0.0134,0.0136,0.0050,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:06:31.0,2022-02-02 11:06:33.0,2022-02-02 08:06:31.0,2022-02-02 08:06:33.0,рельеф,2.0,36,30,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:02:45"," 130:43:35.54"," -00:39:00"," 01:56:24"," 202:12:36.00"," 52:36:03.65657"," 41:26:37.68660",121.7941,19262.8251," 351:16:25.69819",0.0000,,,,,,,0:0:2
148,pt1244,877874.4462,2107425.8009,121.6145," 52:36:03.65149"," 41:26:37.48722",129.8911,,,,,,,2.0922,0.0040,0.0037,0.0055,0.0028,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:06:47.0,2022-02-02 11:06:49.0,2022-02-02 08:06:47.0,2022-02-02 08:06:49.0,рельеф,2.0,38,31,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:42:37"," 209:09:43.98"," -00:53:24"," -02:33:36"," 138:19:12.00"," 52:36:03.65150"," 41:26:37.48722",121.6145,19262.4096," 351:17:05.66841",0.0000,,,,,,,0:0:2
149,pt1245,877875.0408,2107423.7213,121.7152," 52:36:03.67069"," 41:26:37.37671",129.9918,,,,,,,2.0922,0.0116,0.0081,0.0141,0.0081,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:06:55.0,2022-02-02 11:06:57.0,2022-02-02 08:06:55.0,2022-02-02 08:06:57.0,рельеф,2.0,39,31,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:18:08"," 154:24:49.99"," -01:49:12"," 01:24:36"," 192:11:24.00"," 52:36:03.67070"," 41:26:37.37671",121.7152,19261.5065," 351:17:26.71681",0.0000,,,,,,,0:0:2
150,pt1246,877875.8939,2107421.9956,121.4693," 52:36:03.69826"," 41:26:37.28500",129.7459,,,,,,,2.0922,0.0064,0.0114,0.0130,0.0032,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:07:03.0,2022-02-02 11:07:05.0,2022-02-02 08:07:03.0,2022-02-02 08:07:05.0,рельеф,2.0,39,32,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:24:31"," 180:49:53.91"," -01:57:36"," 01:24:00"," 216:22:48.00"," 52:36:03.69827"," 41:26:37.28500",121.4693,19260.4029," 351:17:43.60192",0.0000,,,,,,,0:0:2
151,pt1247,877876.6422,2107416.9444,121.4868," 52:36:03.72238"," 41:26:37.01659",129.7634,,,,,,,2.0922,0.0313,0.0024,0.0314,0.0034,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:07:20.0,2022-02-02 11:07:22.0,2022-02-02 08:07:20.0,2022-02-02 08:07:22.0,рельеф,2.0,39,32,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:34:59"," 145:27:18.70"," -01:25:12"," 00:42:00"," 171:42:00.00"," 52:36:03.72239"," 41:26:37.01659",121.4868,19258.8993," 351:18:35.86608",0.0000,,,,,,,0:0:2
152,pt1248,877878.4971,2107414.4807,121.6097," 52:36:03.78234"," 41:26:36.88563",129.8863,,,,,,,2.0922,0.0030,0.0047,0.0056,0.0005,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:07:34.0,2022-02-02 11:07:36.0,2022-02-02 08:07:34.0,2022-02-02 08:07:36.0,подошва,3.0,39,32,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:37:26"," 49:44:24.59"," 00:13:48"," -00:34:48"," 298:06:36.00"," 52:36:03.78235"," 41:26:36.88563",121.6097,19256.6930," 351:18:58.95177",0.0000,,,,,,,0:0:2
153,pt1249,877420.1934,2107406.5567,123.3860," 52:36:03.83708"," 41:26:36.46456",131.6626,,,,,,,2.0922,0.0031,0.0052,0.0060,0.0008,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:08:14.0,2022-02-02 11:08:16.0,2022-02-02 08:08:14.0,2022-02-02 08:08:16.0,бровка,2.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:29:06"," 111:49:06.74"," 00:31:12"," 02:25:48"," 213:53:24.00"," 52:36:03.83709"," 41:26:36.46456",123.3860,19253.8146," 351:20:20.12685",0.0000,,,,,,,0:0:2
154,pt1250,877879.9529,2107403.7276,123.6811," 52:36:03.82925"," 41:26:36.31425",131.9577,,,,,,,2.0922,0.0164,0.0093,0.0188,0.0015,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:08:29.0,2022-02-02 11:08:31.0,2022-02-02 08:08:29.0,2022-02-02 08:08:31.0,кромка,3.0,39,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:13:30"," 160:51:12.84"," -02:13:12"," 00:09:00"," 164:43:12.00"," 52:36:03.82926"," 41:26:36.31425",123.6811,19253.6255," 351:20:50.47895",0.0000,,,,,,,0:0:2
155,pt1251,877420.4053,2107399.8196,123.7226," 52:36:03.84381"," 41:26:36.10659",131.9992,,,,,,,2.0922,0.0066,0.0194,0.0205,0.0047,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:08:41.0,2022-02-02 11:08:43.0,2022-02-02 08:08:41.0,2022-02-02 08:08:43.0,ось,2.0,39,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:27:03"," 124:41:24.09"," -00:54:36"," 01:07:48"," 175:51:00.00"," 52:36:03.84382"," 41:26:36.10659",123.7226,19252.5905," 351:21:31.14363",0.0000,,,,,,,0:0:2
156,pt1252,877420.7083,2107395.7662,123.6645," 52:36:03.85354"," 41:26:35.89122",131.9411,,,,,,,2.0922,0.0118,0.0054,0.0129,0.0014,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:08:51.0,2022-02-02 11:08:53.0,2022-02-02 08:08:51.0,2022-02-02 08:08:53.0,кромка,2.0,39,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:18:15"," 346:54:44.72"," -01:16:48"," -00:15:00"," 335:51:36.00"," 52:36:03.85355"," 41:26:35.89122",123.6645,19251.6826," 351:22:13.59281",0.0000,,,,,,,0:0:2
157,pt1253,877420.0267,2107393.4436,123.5311," 52:36:03.83145"," 41:26:35.76783",131.8077,,,,,,,2.0922,0.0074,0.0113,0.0135,0.0032,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:09:03.0,2022-02-02 11:09:05.0,2022-02-02 08:09:03.0,2022-02-02 08:09:05.0,бровка,2.0,39,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:50:42"," 19:30:25.84"," 00:18:00"," 00:47:24"," 130:18:00.00"," 52:36:03.83146"," 41:26:35.76783",123.5311,19252.0085," 351:22:39.29205",0.0000,,,,,,,0:0:2
158,pt1254,877421.9359,2107385.9545,122.1373," 52:36:03.89308"," 41:26:35.36985",130.4139,,,,,,,2.0922,0.0092,0.0126,0.0156,0.0022,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:09:30.0,2022-02-02 11:09:32.0,2022-02-02 08:09:30.0,2022-02-02 08:09:32.0,подошва,2.0,40,31,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:07:13"," 305:32:58.69"," -00:01:48"," -02:07:12"," 216:21:36.00"," 52:36:03.89309"," 41:26:35.36985",122.1372,19249.0047," 351:23:55.57099",0.0000,,,,,,,0:0:2
159,pt1255,877422.1991,2107380.5219,122.1532," 52:36:03.90150"," 41:26:35.08120",130.4298,,,,,,,2.0922,0.0004,0.0044,0.0044,0.0044,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:09:46.0,2022-02-02 11:09:48.0,2022-02-02 08:09:46.0,2022-02-02 08:09:48.0,рельеф,2.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:15:04"," 54:48:11.02"," 00:47:24"," 00:58:12"," 183:57:36.00"," 52:36:03.90151"," 41:26:35.08120",122.1532,19247.9326," 351:24:52.71287",0.0000,,,,,,,0:0:2
160,pt1256,877423.6479,2107372.0926,122.7179," 52:36:03.94821"," 41:26:34.63328",130.9945,,,,,,,2.0922,0.0096,0.0099,0.0138,0.0036,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:10:30.0,2022-02-02 11:10:32.0,2022-02-02 08:10:30.0,2022-02-02 08:10:32.0,рельеф,2.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:11:01"," 194:51:54.03"," -01:09:00"," -00:16:48"," 181:10:48.00"," 52:36:03.94822"," 41:26:34.63328",122.7179,19245.2412," 351:26:19.72847",0.0000,,,,,,,0:0:2
161,pt1257,877424.6951,2107364.4020,122.8865," 52:36:03.98195"," 41:26:34.22463",131.1631,,,,,,,2.0922,0.0024,0.0025,0.0035,0.0012,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 11:10:52.0,2022-02-02 11:10:54.0,2022-02-02 08:10:52.0,2022-02-02 08:10:54.0,рельеф,2.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:41:09"," 88:37:21.24"," 00:33:36"," 01:35:24"," 198:01:12.00"," 52:36:03.98196"," 41:26:34.22463",122.8865,19243.0617," 351:27:39.57658",0.0000,,,,,,,0:0:2
